,region,density
7,United Kingdom,276.34851699375736
8,Great Britain,284.71787351518225
9,England and Wales,395.37177043608443
10,England,433.9645778701253
11,North East,312.41505719647205
25,North West,522.2183010428607
69,Yorkshire and The Humber,358.74996577290267
94,East Midlands,311.4267824409931
134,West Midlands,458.67109215942133
169,East of England,327.9605834250634
220,London,5726.660970849874
254,South East,483.29147086177824
325,South West,237.4200925791621
359,Wales,152.85044627888294
382,Scotland,70.16555827912568
415,Northern Ireland,137.42599788619557
