,region,income
1,AL,51771.0
2,AK,77203.0
3,AZ,62027.0
4,AR,49020.0
5,CA,80423.0
6,CO,77104.0
7,CT,78920.0
8,DE,70348.0
9,DC,90395.0
10,FL,59198.0
11,GA,61950.0
12,HI,83734.0
13,ID,60830.0
14,IL,69212.0
15,IN,57617.0
16,IA,61807.0
17,KS,62028.0
18,KY,52256.0
19,LA,51108.0
20,ME,58824.0
21,MD,86644.0
22,MA,85700.0
23,MI,59522.0
24,MN,74529.0
25,MS,45928.0
26,MO,57375.0
27,MT,57248.0
28,NE,63290.0
29,NV,63268.0
30,NH,78571.0
31,NJ,85786.0
32,NM,52021.0
33,NY,72038.0
34,NC,57388.0
35,ND,67402.0
36,OH,58704.0
37,OK,54447.0
38,OR,66955.0
39,PA,63455.0
40,RI,70383.0
41,SC,56360.0
42,SD,60414.0
43,TN,56047.0
44,TX,64044.0
45,UT,75705.0
46,VT,63293.0
47,VA,76471.0
48,WA,78674.0
49,WV,48659.0
50,WI,64177.0
51,WY,66152.0
