,State,Density,Pop,LandArea,DensityKM
0,New Jersey,1206.7609,8874520,7354,465.9330063193668
1,Rhode Island,1026.6044,1061509,1034,396.3741936802739
2,Massachusetts,886.1845,6912239,7800,342.15774341121863
3,Connecticut,733.7507,3552821,4842,283.30273795805215
4,Maryland,624.8518,6065436,9707,241.25661197124458
5,Delaware,508.1242,990334,1949,196.18783741794743
6,New York,409.54,19299981,47126,158.12426950929236
7,Florida,409.2229,21944577,53625,158.00183774545633
8,Ohio,286.6944,11714618,40861,110.69330894708806
9,Pennsylvania,286.1704,12804123,44743,110.49101600662281
10,California,254.2929,39613493,155779,98.1830359463745
11,Illinois,226.3967,12569321,55519,87.41227273802626
12,North Carolina,220.1041,10701022,48618,84.98267500403566
13,Hawaii,218.9678,1406430,6423,84.54392945808797
14,Virginia,217.8776,8603985,39490,84.12299774620897
15,Indiana,189.9644,6805663,35826,73.34564771264857
16,Georgia,188.3054,10830007,57513,72.70511154473361
17,Michigan,176.7351,9992427,56539,68.23781167474361
18,South Carolina,175.5707,5277830,30061,67.78821581731941
19,Tennessee,168.4069,6944260,41235,65.02228145574868
20,New Hampshire,153.2674,1372203,8953,59.17687259322599
21,Washington,117.3249,7796941,66456,45.29938230586611
22,Texas,113.8081,29730311,261232,43.941543351225675
23,Kentucky,113.476,4480713,39486,43.81332526296999
24,Wisconsin,108.0633,5852490,54158,41.72345770045469
25,Louisiana,107.0966,4627002,43204,41.350232849087504
26,Alabama,97.4271,4934193,50645,37.61679471245288
27,Missouri,89.7419,6169038,68742,34.64954304849109
28,West Virginia,73.5443,1767859,24038,28.395630917182807
29,Minnesota,71.6641,5706398,79627,27.66966714290535
30,Vermont,67.6197,623251,9217,26.108121562868178
31,Arizona,66.2016,7520103,113594,25.560575392522473
32,Mississippi,63.2186,2966407,46923,24.40884312520525
33,Arkansas,58.3059,3033946,52035,22.512022670379306
34,Oklahoma,58.174,3990443,68595,22.461092733296468
35,Colorado,56.8653,5893634,103642,21.955817230026017
36,Iowa,56.7158,3167974,55857,21.898089760728777
37,Oregon,44.6872,4289439,95988,17.253840657696845
38,Maine,43.9167,1354522,30843,16.956322927765708
39,Utah,40.2918,3310774,82170,15.55673588915713
40,Kansas,35.6808,2917224,81759,13.776421965752386
41,Nevada,29.0195,3185786,109781,11.204478474543661
42,Nebraska,25.4087,1951996,76824,9.810344022232556
43,Idaho,22.5079,1860123,82643,8.690361017238265
44,New Mexico,17.354,2105005,121298,6.700415294135757
45,South Dakota,11.8265,896581,75811,4.566248426390017
46,North Dakota,11.1596,770026,69001,4.308759304537258
47,Montana,7.4547,1085004,145546,2.878281687449568
48,Wyoming,5.9847,581075,97093,2.3107156211483555
49,Alaska,1.2694,724357,570641,0.490108143809528
